,0
2024-10-13,1
2024-10-14,2
2024-10-15,3
2024-10-16,4
2024-10-17,5
2024-10-18,6
2024-10-19,7
2024-10-20,8
2024-10-21,9
2024-10-22,10
2024-10-23,11
2024-10-24,12
2024-10-25,13
2024-10-26,14
2024-10-27,15
2024-10-28,16
2024-10-29,17
2024-10-30,18
2024-10-31,19
2024-11-01,20
2024-11-02,21
2024-11-03,22
2024-11-04,23
2024-11-05,24
2024-11-06,25
2024-11-07,26
2024-11-08,27
2024-11-09,28
2024-11-10,29
2024-11-11,30
2024-11-12,31
2024-11-13,32
2024-11-14,33
2024-11-15,34
2024-11-16,35
2024-11-17,36
2024-11-18,37
2024-11-19,38
2024-11-20,39
2024-11-21,40
2024-11-22,41
2024-11-23,42
2024-11-24,43
2024-11-25,44
2024-11-26,45
2024-11-27,46
2024-11-28,47
2024-11-29,48
2024-11-30,49
2024-12-01,50
2024-12-02,51
2024-12-03,52
2024-12-04,53
2024-12-05,54
2024-12-06,55
2024-12-07,56
2024-12-08,57
2024-12-09,58
2024-12-10,59
2024-12-11,60
2024-12-12,61
2024-12-13,62
2024-12-14,63
2024-12-15,64
2024-12-16,65
2024-12-17,66
2024-12-18,67
2024-12-19,68
2024-12-20,69
2024-12-21,70
2024-12-22,71
2024-12-23,72
2024-12-24,73
2024-12-25,74
2024-12-26,75
2024-12-27,76
2024-12-28,77
2024-12-29,78
2024-12-30,79
2024-12-31,80
2025-01-01,81
2025-01-02,82
2025-01-03,83
2025-01-04,84
2025-01-05,85
2025-01-06,86
2025-01-07,87
2025-01-08,88
2025-01-09,89
2025-01-10,90
2025-01-11,91
2025-01-12,92
2025-01-13,93
2025-01-14,94
2025-01-15,95
2025-01-16,96
2025-01-17,97
2025-01-18,98
2025-01-19,99
2025-01-20,100
2025-01-21,101
2025-01-22,102
2025-01-23,103
2025-01-24,104
2025-01-25,105
2025-01-26,106
2025-01-27,107
2025-01-28,108
2025-01-29,109
2025-01-30,110
2025-01-31,111
2025-02-01,112
2025-02-02,113
2025-02-03,114
2025-02-04,115
2025-02-05,116
2025-02-06,117
2025-02-07,118
2025-02-08,119
2025-02-09,120
2025-02-10,121
2025-02-11,122
2025-02-12,123
2025-02-13,124
2025-02-14,125
2025-02-15,126
2025-02-16,127
2025-02-17,128
2025-02-18,129
2025-02-19,130
2025-02-20,131
2025-02-21,132
2025-02-22,133
2025-02-23,134
2025-02-24,135
2025-02-25,136
2025-02-26,137
2025-02-27,138
2025-02-28,139
2025-03-01,140
2025-03-02,141
2025-03-03,142
2025-03-04,143
2025-03-05,144
2025-03-06,145
2025-03-07,146
2025-03-08,147
2025-03-09,148
2025-03-10,149
2025-03-11,150
2025-03-12,151
2025-03-13,152
2025-03-14,153
2025-03-15,154
2025-03-16,155
2025-03-17,156
2025-03-18,157
2025-03-19,158
2025-03-20,159
2025-03-21,160
2025-03-22,161
2025-03-23,162
2025-03-24,163
2025-03-25,164
2025-03-26,165
2025-03-27,166
2025-03-28,167
2025-03-29,168
2025-03-30,169
2025-03-31,170
2025-04-01,171
2025-04-02,172
2025-04-03,173
2025-04-04,174
2025-04-05,175
2025-04-06,176
2025-04-07,177
2025-04-08,178
2025-04-09,179
2025-04-10,180
2025-04-11,181
2025-04-12,182
2025-04-13,183
2025-04-14,184
2025-04-15,185
2025-04-16,186
2025-04-17,187
2025-04-18,188
2025-04-19,189
2025-04-20,190
2025-04-21,191
2025-04-22,192
2025-04-23,193
2025-04-24,194
2025-04-25,195
2025-04-26,196
2025-04-27,197
2025-04-28,198
2025-04-29,199
2025-04-30,200
